property_type,sector,builtup,bedRoom,bathroom,balcony,agePossession,furnish_type,servant_room,store_room,luxury_score_category,floorNum_category,price
0.0,139.0,743.0,2,2,1.0,3.0,0.0,0,0,1.0,0.0,28.0
0.0,94.0,2250.0,3,4,4.0,4.0,0.0,1,0,1.0,0.0,387.0
0.0,15.0,2419.0,3,3,1.0,0.0,0.0,0,0,2.0,2.0,138.0
0.0,62.0,722.0,2,2,1.0,3.0,0.0,0,0,1.0,1.0,43.0
0.0,4.0,1000.0,2,1,1.0,3.0,0.0,0,0,2.0,1.0,28.5
0.0,59.0,1242.0,2,2,2.0,3.0,0.0,0,0,2.0,2.0,110.0
0.0,98.0,1433.0,2,2,2.0,3.0,0.0,0,0,2.0,0.0,200.0
0.0,139.0,1014.0,3,2,2.0,4.0,0.0,0,0,1.0,1.0,90.0
0.0,139.0,1120.0,3,2,0.0,4.0,0.0,0,0,2.0,1.0,90.0
0.0,53.0,1996.0,3,3,0.0,4.0,0.0,0,0,1.0,1.0,175.0
0.0,102.0,1200.0,2,2,2.0,1.0,0.0,0,0,1.0,0.0,93.0
0.0,131.0,2468.0,4,4,4.0,0.0,0.0,0,0,1.0,0.0,180.0
0.0,53.0,1619.0,3,3,2.0,4.0,0.0,0,0,2.0,2.0,210.0
0.0,37.0,1533.0,2,2,2.0,3.0,2.0,0,0,2.0,2.0,200.0
0.0,97.0,1540.0,3,3,2.0,4.0,2.0,0,0,2.0,1.0,200.0
0.0,126.0,1641.0,3,3,3.0,1.0,0.0,0,0,1.0,2.0,129.0
0.0,98.0,1828.09,3,3,3.0,4.0,0.0,0,0,2.0,0.0,285.0
0.0,115.0,2166.0,3,3,3.0,3.0,2.0,0,0,2.0,1.0,110.0
0.0,94.0,1333.0,2,2,2.0,4.0,0.0,0,0,2.0,1.0,165.0
0.0,139.0,360.0,1,1,2.0,1.0,0.0,0,0,2.0,1.0,24.0
0.0,113.0,1600.0,3,4,4.0,1.0,1.0,1,0,1.0,0.0,210.0
0.0,53.0,2143.0,3,3,4.0,1.0,0.0,1,0,1.0,0.0,190.0
0.0,115.0,81.0,2,2,3.0,1.0,0.0,0,0,1.0,2.0,110.0
0.0,135.0,563.0,2,2,1.0,3.0,0.0,0,0,2.0,2.0,31.5
0.0,15.0,965.0,1,1,2.0,3.0,0.0,0,0,1.0,2.0,170.0
0.0,137.0,473.0,2,2,2.0,1.0,0.0,0,0,2.0,1.0,32.0
0.0,125.0,645.0,2,2,1.0,4.0,0.0,0,0,2.0,2.0,45.0
0.0,114.0,822.0,1,2,2.0,4.0,2.0,0,0,1.0,0.0,120.0
0.0,98.0,1186.0,2,2,2.0,1.0,0.0,0,0,1.0,0.0,210.0
0.0,62.0,833.0,2,2,1.0,3.0,1.0,0,0,2.0,2.0,42.0
0.0,53.0,1730.0,3,2,4.0,1.0,0.0,0,0,2.0,2.0,155.0
0.0,0.0,1303.0,3,3,2.0,4.0,0.0,0,0,1.0,2.0,130.0
0.0,22.0,2885.0,4,4,4.0,4.0,0.0,1,0,1.0,0.0,275.0
0.0,7.0,1465.0,3,3,4.0,1.0,0.0,0,0,1.0,1.0,125.0
0.0,97.0,630.0,3,2,2.0,4.0,0.0,0,0,2.0,1.0,42.0
0.0,139.0,615.0,2,2,1.0,1.0,2.0,0,0,2.0,2.0,40.0
0.0,139.0,699.0,2,2,1.0,1.0,0.0,0,0,1.0,1.0,34.0
0.0,128.0,1288.0,3,3,3.0,1.0,0.0,0,0,1.0,2.0,125.0
0.0,113.0,1310.0,3,3,3.0,3.0,0.0,0,0,2.0,2.0,150.0
0.0,0.0,1267.0,3,3,2.0,4.0,0.0,0,0,2.0,2.0,130.0
0.0,137.0,1810.0,3,3,3.0,4.0,0.0,0,0,1.0,2.0,160.0
0.0,22.0,1418.0,2,2,2.0,1.0,0.0,0,0,2.0,0.0,150.0
0.0,22.0,1155.0,2,2,2.0,1.0,0.0,0,0,1.0,0.0,150.0
0.0,9.0,1259.0,2,2,0.0,3.0,0.0,0,0,1.0,0.0,90.0
0.0,80.0,1484.0,4,4,3.0,2.0,0.0,0,0,1.0,2.0,150.0
0.0,100.0,610.0,1,1,0.0,3.0,0.0,0,0,2.0,1.0,80.0
0.0,125.0,1530.0,3,2,1.0,1.0,0.0,0,0,1.0,0.0,125.0
0.0,139.0,534.0,2,2,1.0,3.0,0.0,0,0,2.0,1.0,26.0
0.0,139.0,590.0,2,2,1.0,1.0,2.0,0,0,1.0,0.0,42.0
0.0,66.0,195.0,3,3,2.0,1.0,0.0,0,0,2.0,1.0,250.0
0.0,114.0,1900.0,3,3,2.0,0.0,0.0,1,0,2.0,1.0,90.0
0.0,133.0,657.0,2,2,1.0,3.0,0.0,0,0,1.0,2.0,42.0
0.0,13.0,494.0,2,2,1.0,3.0,0.0,0,0,1.0,0.0,50.0
0.0,115.0,1450.0,2,2,3.0,3.0,0.0,0,0,1.0,2.0,90.0
0.0,128.0,2122.0,3,3,4.0,1.0,2.0,1,0,2.0,1.0,130.0
0.0,53.0,1619.0,3,3,3.0,4.0,2.0,0,0,1.0,0.0,170.0
0.0,133.0,2040.0,4,3,0.0,4.0,0.0,0,0,2.0,0.0,125.0
0.0,121.0,3902.0,4,4,3.0,4.0,0.0,1,1,1.0,2.0,291.0
0.0,24.0,2000.0,3,4,2.0,2.0,0.0,1,0,1.0,1.0,115.0
0.0,128.0,1064.0,3,3,3.0,4.0,0.0,0,1,1.0,2.0,120.0
0.0,140.0,1361.0,2,2,3.0,1.0,2.0,0,0,2.0,0.0,150.0
0.0,139.0,1509.0,3,3,4.0,3.0,0.0,0,0,1.0,2.0,130.0
0.0,9.0,1529.0,3,3,3.0,4.0,0.0,0,0,1.0,1.0,175.0
0.0,49.0,778.0,2,2,1.0,3.0,0.0,0,0,1.0,2.0,55.0
0.0,98.0,1654.0,3,3,3.0,4.0,0.0,0,0,2.0,0.0,250.0
0.0,35.0,1440.0,3,2,3.0,0.0,0.0,0,0,1.0,2.0,80.0
0.0,14.0,1468.0,2,2,1.0,0.0,0.0,0,0,2.0,2.0,70.0
0.0,59.0,1650.0,4,3,3.0,4.0,0.0,0,0,2.0,2.0,195.0
0.0,131.0,695.0,2,2,1.0,1.0,0.0,0,0,1.0,1.0,45.0
0.0,115.0,1570.0,3,2,3.0,3.0,1.0,0,0,2.0,2.0,170.0
0.0,125.0,578.0,2,2,1.0,3.0,2.0,0,0,2.0,2.0,50.0
0.0,98.0,1866.67,3,3,3.0,4.0,0.0,0,0,1.0,0.0,280.0
0.0,53.0,96.0,3,2,4.0,4.0,0.0,0,0,1.0,0.0,145.0
0.0,94.0,1811.0,3,3,2.0,4.0,0.0,0,0,1.0,2.0,220.00000000000003
0.0,139.0,1105.0,2,2,2.0,3.0,2.0,0,0,2.0,0.0,90.0
0.0,135.0,571.0,2,2,2.0,1.0,0.0,0,0,1.0,2.0,40.0
0.0,113.0,1451.0,3,3,4.0,1.0,0.0,0,1,1.0,2.0,135.0
0.0,101.0,2555.0,4,4,0.0,1.0,0.0,0,0,2.0,2.0,185.0
0.0,135.0,344.0,1,1,1.0,1.0,0.0,0,0,1.0,2.0,25.0
0.0,128.0,1228.0,2,2,3.0,1.0,0.0,0,0,2.0,1.0,88.0
0.0,136.0,1235.0,2,2,2.0,1.0,0.0,0,0,2.0,1.0,115.0
0.0,137.0,1133.0,2,2,2.0,1.0,0.0,0,0,2.0,2.0,85.0
0.0,121.0,1000.0,2,2,2.0,3.0,2.0,0,0,1.0,1.0,75.0
0.0,34.0,4999.0,4,4,4.0,1.0,0.0,0,0,1.0,1.0,335.0
0.0,126.0,1674.0,3,3,4.0,1.0,0.0,0,0,2.0,0.0,150.0
0.0,132.0,2140.0,4,4,4.0,0.0,0.0,1,0,1.0,0.0,165.0
0.0,132.0,2468.0,4,4,4.0,0.0,0.0,1,0,2.0,0.0,200.0
0.0,102.0,1311.0,2,2,2.0,1.0,0.0,0,0,1.0,1.0,90.0
0.0,106.0,1688.0,3,3,3.0,4.0,0.0,0,0,1.0,0.0,125.0
0.0,58.0,1708.0,3,3,4.0,3.0,0.0,0,0,1.0,2.0,100.0
0.0,0.0,1758.0,3,3,0.0,4.0,0.0,0,0,1.0,1.0,108.0
0.0,124.0,2179.0,3,5,3.0,1.0,0.0,0,0,2.0,1.0,215.0
0.0,100.0,826.0,1,1,1.0,3.0,0.0,0,0,2.0,0.0,100.0
0.0,107.0,1142.0,2,2,3.0,1.0,0.0,0,0,1.0,0.0,165.0
0.0,131.0,2461.0,4,3,4.0,0.0,0.0,0,0,1.0,2.0,179.0
0.0,124.0,141.0,3,3,3.0,4.0,2.0,0,0,1.0,0.0,180.0
0.0,1.0,1430.0,3,3,3.0,4.0,0.0,0,0,1.0,2.0,145.0
0.0,105.0,700.0,2,2,1.0,3.0,0.0,0,0,1.0,1.0,36.0
0.0,139.0,587.0,2,2,1.0,3.0,0.0,0,0,1.0,1.0,25.0
0.0,115.0,1200.0,3,3,4.0,4.0,0.0,0,0,1.0,1.0,115.0
0.0,140.0,1051.0,3,3,0.0,1.0,0.0,0,0,2.0,1.0,165.0
0.0,22.0,2553.0,4,4,4.0,4.0,0.0,1,0,1.0,0.0,290.0
0.0,133.0,1195.0,2,2,3.0,4.0,2.0,0,0,2.0,0.0,60.0
0.0,71.0,2666.0,3,3,0.0,0.0,0.0,0,0,2.0,1.0,240.0
0.0,107.0,1402.0,2,2,3.0,3.0,0.0,0,0,1.0,0.0,125.0
0.0,98.0,1433.0,2,2,4.0,3.0,0.0,0,0,2.0,0.0,215.0
0.0,139.0,743.0,2,2,1.0,3.0,0.0,0,0,1.0,2.0,29.5
0.0,139.0,750.0,2,2,2.0,3.0,0.0,0,0,2.0,2.0,38.0
0.0,63.0,950.0,2,2,1.0,1.0,0.0,0,0,1.0,1.0,39.0
0.0,136.0,2400.0,3,4,0.0,1.0,0.0,0,0,2.0,0.0,160.0
0.0,102.0,1809.0,4,4,3.0,1.0,0.0,0,0,1.0,1.0,170.0
0.0,83.0,2557.0,3,3,4.0,2.0,1.0,0,0,1.0,1.0,325.0
0.0,20.0,789.0,2,2,3.0,1.0,1.0,0,0,2.0,2.0,60.0
0.0,135.0,758.0,2,2,0.0,1.0,2.0,0,0,2.0,1.0,27.0
0.0,45.0,1188.0,2,1,1.0,2.0,0.0,0,0,2.0,1.0,95.0
0.0,98.0,1433.05,2,2,3.0,1.0,0.0,0,0,1.0,2.0,265.0
0.0,115.0,546.0,2,2,1.0,1.0,0.0,0,0,2.0,2.0,36.0
0.0,59.0,543.0,2,2,3.0,1.0,0.0,0,0,1.0,2.0,55.0
0.0,128.0,867.0,3,3,3.0,4.0,2.0,0,0,1.0,1.0,132.0
0.0,137.0,1133.0,2,2,3.0,4.0,0.0,0,0,1.0,1.0,59.0
0.0,62.0,944.0,2,2,1.0,3.0,2.0,0,0,1.0,1.0,45.0
0.0,59.0,1185.0,3,3,2.0,3.0,0.0,0,0,2.0,0.0,90.0
0.0,115.0,1555.0,2,2,2.0,3.0,2.0,1,1,2.0,2.0,140.0
0.0,139.0,1129.0,2,2,4.0,1.0,0.0,0,0,2.0,2.0,95.0
0.0,98.0,1666.67,3,3,3.0,4.0,0.0,0,0,1.0,0.0,300.0
0.0,98.0,2040.02,3,3,2.0,4.0,0.0,1,0,2.0,0.0,367.0
0.0,121.0,5710.0,5,6,4.0,1.0,0.0,1,0,2.0,2.0,385.0
0.0,98.0,1828.08,3,3,3.0,1.0,0.0,0,0,1.0,0.0,329.0
0.0,98.0,1141.0,2,2,3.0,4.0,0.0,0,0,2.0,0.0,233.0
0.0,98.0,1969.23,3,3,3.0,1.0,0.0,0,0,2.0,0.0,279.0
0.0,24.0,1100.0,2,2,1.0,3.0,0.0,0,0,1.0,1.0,72.0
0.0,9.0,514.0,2,2,1.0,3.0,2.0,0,0,1.0,2.0,40.0
0.0,135.0,1235.0,2,2,2.0,3.0,0.0,0,0,2.0,2.0,56.0
0.0,108.0,1466.0,3,3,3.0,3.0,2.0,0,0,1.0,0.0,110.0
0.0,59.0,1100.0,2,2,3.0,1.0,0.0,0,0,2.0,2.0,71.0
0.0,115.0,1172.0,2,2,4.0,1.0,2.0,0,0,1.0,1.0,78.0
0.0,58.0,755.0,2,2,3.0,4.0,0.0,0,0,2.0,2.0,40.0
0.0,22.0,1429.0,3,2,2.0,1.0,0.0,0,0,2.0,2.0,185.0
0.0,6.0,817.0,2,2,1.0,4.0,0.0,0,0,1.0,2.0,110.0
0.0,94.0,1150.0,2,2,2.0,4.0,2.0,0,0,1.0,1.0,141.0
0.0,115.0,2161.0,3,3,3.0,3.0,0.0,0,0,2.0,2.0,145.0
0.0,94.0,1778.0,3,3,2.0,4.0,2.0,0,0,2.0,1.0,220.00000000000003
0.0,54.0,1100.0,2,2,3.0,0.0,0.0,0,0,2.0,2.0,110.0
0.0,6.0,2250.0,3,4,4.0,3.0,0.0,1,0,1.0,0.0,205.0
0.0,133.0,1333.0,3,2,3.0,0.0,0.0,0,0,2.0,2.0,60.0
0.0,128.0,1502.0,2,3,3.0,4.0,1.0,0,0,1.0,2.0,80.0
0.0,123.0,565.0,2,2,2.0,1.0,0.0,0,0,1.0,2.0,41.0
0.0,110.0,1622.0,3,3,3.0,4.0,0.0,1,0,1.0,2.0,90.0
0.0,104.0,1000.0,2,2,1.0,3.0,0.0,0,0,1.0,2.0,54.0
0.0,55.0,850.0,3,2,2.0,1.0,0.0,0,0,1.0,1.0,82.0
0.0,108.0,1344.0,3,3,4.0,3.0,0.0,0,0,1.0,2.0,100.0
0.0,86.0,2277.0,3,4,3.0,2.0,0.0,1,0,2.0,2.0,185.0
0.0,122.0,1972.0,3,3,2.0,3.0,0.0,0,0,1.0,1.0,142.0
0.0,59.0,610.0,2,2,3.0,1.0,2.0,0,0,1.0,2.0,55.0
0.0,98.0,1592.0,2,2,3.0,4.0,0.0,0,0,2.0,2.0,229.0
0.0,6.0,747.0,2,2,2.0,1.0,0.0,0,0,1.0,0.0,97.0
0.0,81.0,2661.0,3,4,3.0,4.0,0.0,1,0,1.0,2.0,825.0
0.0,49.0,750.0,2,2,1.0,3.0,0.0,0,0,2.0,1.0,30.0
0.0,53.0,1279.0,2,2,3.0,4.0,0.0,0,0,2.0,1.0,165.0
0.0,98.0,1140.0,2,2,2.0,4.0,0.0,0,0,1.0,0.0,199.0
0.0,102.0,889.0,2,2,3.0,3.0,2.0,0,0,1.0,0.0,100.0
0.0,95.0,1600.03,3,3,3.0,4.0,0.0,0,0,2.0,2.0,425.0
0.0,114.0,2300.0,4,4,3.0,3.0,0.0,1,0,1.0,1.0,125.0
0.0,122.0,1489.0,3,3,3.0,0.0,0.0,0,0,1.0,1.0,95.0
0.0,63.0,1500.0,3,2,2.0,1.0,0.0,0,0,2.0,1.0,105.0
0.0,109.0,2629.0,4,5,4.0,1.0,0.0,1,0,2.0,0.0,410.0
0.0,131.0,795.0,2,2,2.0,4.0,0.0,0,0,1.0,1.0,50.0
0.0,2.0,3111.0,4,3,3.0,1.0,0.0,1,0,2.0,2.0,165.0
0.0,107.0,1750.0,3,3,3.0,1.0,2.0,1,0,1.0,1.0,160.0
0.0,94.0,1534.0,3,2,3.0,4.0,0.0,0,0,2.0,2.0,210.0
0.0,2.0,2233.0,4,4,3.0,0.0,0.0,0,0,2.0,2.0,90.0
0.0,115.0,1223.0,2,2,4.0,1.0,0.0,0,0,1.0,2.0,110.0
0.0,136.0,1235.0,2,2,4.0,4.0,0.0,0,0,2.0,0.0,92.0
0.0,133.0,140.0,3,3,2.0,4.0,0.0,0,0,1.0,0.0,70.0
0.0,106.0,1416.0,3,4,2.0,4.0,0.0,0,0,1.0,0.0,99.0
0.0,115.0,1280.0,2,2,4.0,1.0,0.0,0,0,1.0,0.0,71.5
0.0,7.0,1232.0,2,2,3.0,1.0,0.0,0,0,1.0,2.0,87.5
0.0,103.0,1473.0,3,2,2.0,0.0,0.0,0,0,1.0,0.0,91.0
0.0,120.0,1774.0,3,4,4.0,4.0,0.0,0,0,1.0,2.0,125.0
0.0,72.0,1108.0,2,2,2.0,3.0,0.0,0,0,2.0,2.0,105.0
0.0,58.0,1310.0,2,2,4.0,3.0,0.0,0,0,0.0,0.0,66.0
0.0,22.0,1310.0,2,2,0.0,1.0,2.0,0,0,0.0,2.0,183.0
0.0,106.0,991.0,2,2,2.0,4.0,0.0,0,0,1.0,2.0,52.56
0.0,59.0,1300.0,2,2,3.0,3.0,1.0,0,0,1.0,1.0,80.0
0.0,128.0,1423.0,3,2,0.0,1.0,1.0,0,0,2.0,2.0,171.0
0.0,122.0,700.0,1,1,0.0,3.0,2.0,0,0,2.0,2.0,65.0
0.0,137.0,1997.0,3,3,0.0,3.0,2.0,0,0,2.0,0.0,130.0
0.0,133.0,1523.0,3,3,4.0,3.0,0.0,0,0,2.0,0.0,82.0
0.0,83.0,1381.99,3,3,3.0,0.0,0.0,0,0,2.0,1.0,570.0
0.0,96.0,804.0,1,1,2.0,1.0,0.0,0,0,2.0,2.0,88.0
0.0,19.0,3350.0,4,4,3.0,1.0,0.0,0,0,2.0,0.0,400.0
0.0,124.0,2400.0,3,4,3.0,3.0,0.0,1,0,2.0,2.0,193.0
0.0,22.0,2353.0,4,4,3.0,4.0,0.0,1,0,2.0,0.0,345.0
0.0,86.0,2200.0,3,3,3.0,0.0,2.0,0,0,1.0,2.0,170.0
0.0,98.0,4270.0,3,5,4.0,3.0,0.0,1,0,1.0,1.0,615.0
0.0,34.0,1611.0,3,3,4.0,2.0,2.0,0,0,2.0,2.0,140.0
0.0,123.0,1624.0,3,3,2.0,1.0,2.0,1,1,2.0,1.0,148.0
0.0,54.0,4808.0,4,4,4.0,2.0,1.0,1,0,2.0,0.0,325.0
0.0,100.0,2724.0,3,3,3.0,3.0,0.0,1,0,0.0,0.0,349.0
0.0,95.0,1675.0,2,2,3.0,4.0,2.0,0,0,2.0,0.0,215.0
0.0,53.0,1448.0,2,2,3.0,4.0,0.0,0,0,0.0,0.0,140.0
0.0,66.0,1273.0,3,3,2.0,0.0,0.0,0,0,2.0,2.0,200.0
0.0,94.0,1475.0,3,3,2.0,4.0,0.0,0,0,2.0,1.0,230.0
0.0,139.0,828.0,2,1,3.0,1.0,0.0,0,0,1.0,1.0,54.0
0.0,138.0,2006.0,4,3,3.0,2.0,0.0,1,0,2.0,1.0,125.0
0.0,124.0,102.0,2,2,1.0,4.0,2.0,0,0,2.0,0.0,105.0
0.0,113.0,1611.0,3,4,3.0,3.0,2.0,1,0,1.0,1.0,125.0
0.0,46.0,996.0,1,1,1.0,2.0,0.0,0,0,2.0,1.0,100.0
0.0,27.0,2555.0,5,5,2.0,2.0,0.0,0,1,1.0,1.0,170.0
0.0,125.0,2522.0,4,6,2.0,1.0,2.0,1,0,0.0,0.0,130.0
0.0,6.0,1852.0,3,3,3.0,3.0,0.0,0,0,1.0,2.0,212.0
0.0,94.0,1174.38,3,4,4.0,4.0,1.0,1,0,1.0,0.0,390.0
0.0,77.0,2358.0,3,3,4.0,2.0,1.0,1,0,2.0,0.0,300.0
0.0,94.0,1721.0,3,3,2.0,1.0,2.0,0,0,2.0,2.0,220.00000000000003
0.0,6.0,1314.0,3,3,3.0,3.0,0.0,1,0,2.0,2.0,135.0
0.0,53.0,1856.0,3,2,2.0,4.0,0.0,0,0,2.0,0.0,167.0
0.0,7.0,1222.0,2,2,2.0,3.0,0.0,0,0,2.0,1.0,90.0
0.0,22.0,2060.0,4,4,4.0,4.0,0.0,0,0,2.0,0.0,237.0
0.0,6.0,2222.0,3,3,4.0,3.0,2.0,1,0,1.0,2.0,198.0
0.0,41.0,2333.0,4,4,3.0,2.0,0.0,1,0,1.0,0.0,370.0
0.0,20.0,3055.0,4,4,4.0,4.0,2.0,0,0,2.0,2.0,467.0
0.0,115.0,1423.0,2,2,3.0,1.0,2.0,0,0,2.0,2.0,129.0
0.0,73.0,2395.01,3,3,4.0,3.0,1.0,0,0,2.0,2.0,365.0
0.0,86.0,2200.0,3,3,3.0,0.0,0.0,0,0,2.0,2.0,170.0
0.0,98.0,4270.0,3,5,4.0,3.0,0.0,1,0,2.0,1.0,615.0
0.0,34.0,1611.0,3,3,4.0,2.0,2.0,0,0,2.0,2.0,140.0
0.0,123.0,1624.0,3,3,2.0,1.0,0.0,1,1,2.0,1.0,148.0
0.0,100.0,2724.0,3,3,3.0,3.0,0.0,1,0,1.0,0.0,349.0
0.0,95.0,1675.0,2,2,3.0,4.0,2.0,0,0,2.0,0.0,215.0
