property_type,society,sector,price_in_lacs,price_per_sqft_inrs,area,areaWithType,super_builtup,builtup,carpet_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,furnish_type,servant_room,study room,pooja room,store_room,others,luxury_score
flat,adani aangan arcade,sector 88a ,45.0,7194.0,625.52,Carpet area: 625.47 (58.11 sq.m.),,,625.0,2,2,1,8.0,,New Property,0.0,0,0,0,0,0,14.0
flat,sare green parc,sector 92 ,85.0,6538.0,1300.09,Built Up area: 1300 (120.77 sq.m.),,1300.0,,3,2,2,20.0,,Undefined,0.0,0,0,0,0,0,0.0
flat,shree vardhman flora,sector 90 ,75.0,5769.0,1300.05,Carpet area: 1300 (120.77 sq.m.),,,1300.0,2,2,3,8.0,North-East,Undefined,0.0,0,0,0,0,0,60.0
flat,supertech hues,sector 68 ,82.0,6950.0,1179.86,Super Built up area 1180(109.63 sq.m.),1180.0,,,2,2,3+,21.0,,Under Construction,0.0,0,0,0,0,1,72.0
flat,chintels paradiso,sector 109 ,180.0,8866.0,2030.23,Super Built up area 2030(188.59 sq.m.)Carpet area: 1785 sq.ft. (165.83 sq.m.),2030.0,,1785.0,3,3,2,0.0,East,Moderately Old,0.0,1,0,0,0,0,83.0
flat,breez global hill view,sohna road,29.99,5403.0,555.06,Super Built up area 655(60.85 sq.m.)Carpet area: 555 sq.ft. (51.56 sq.m.),655.0,,555.0,2,2,2,6.0,North-East,New Property,0.0,0,0,0,0,0,109.0
flat,ild greens,sector 37c ,78.0,5714.0,1365.07,Super Built up area 1365(126.81 sq.m.)Built Up area: 1068.1 sq.ft. (99.23 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),1365.0,1068.0,900.0,2,2,3,1.0,North,Moderately Old,2.0,0,0,0,0,0,103.0
flat,ansal sushant lok ci,sector 43 ,200.0,15151.0,1320.04,Carpet area: 1320 (122.63 sq.m.),,,1320.0,3,3,2,1.0,North,Old Property,1.0,1,0,0,0,0,15.0
flat,ashiana mulberry,sohna road,74.0,6200.0,1193.55,Carpet area: 1210 (112.41 sq.m.),,,1210.0,2,2,3+,12.0,North-West,New Property,0.0,0,0,0,0,0,67.0
flat,godrej meridien,sector 106 ,320.0,16000.0,2000.0,Carpet area: 2002 (185.99 sq.m.),,,2002.0,3,3,3+,6.0,,Under Construction,0.0,1,0,0,0,0,49.0
flat,mapsko casa bella,sector 82 ,130.0,6378.0,2038.26,Super Built up area 1960(182.09 sq.m.),1960.0,,,4,4,3+,1.0,North,Relatively New,0.0,1,0,0,0,0,130.0
flat,pooja apartment,sector 3 phase 3 extension,25.0,3571.0,700.08,Carpet area: 700 (65.03 sq.m.),,,700.0,2,2,2,2.0,East,Relatively New,0.0,0,0,0,0,0,0.0
flat,signature global park,sohna road,95.0,7846.0,1210.81,Built Up area: 1210.73 (112.48 sq.m.)Carpet area: 756.6 sq.ft. (70.29 sq.m.),,1210.0,756.0,3,2,3+,1.0,,Relatively New,0.0,0,0,0,0,0,46.0
flat,dlf new town heights,sector 90 ,199.0,7297.0,2727.15,Carpet area: 2727 (253.35 sq.m.),,,2727.0,4,4,3+,9.0,East,Relatively New,2.0,1,0,1,0,0,102.0
flat,paras dews,sector 106 ,105.0,7581.0,1385.04,Carpet area: 1385 (128.67 sq.m.),,,1385.0,2,2,2,5.0,West,New Property,0.0,0,0,0,0,0,97.0
flat,godrej air,sector 85 ,183.0,10005.0,1829.09,Carpet area: 1829 (169.92 sq.m.),,,1829.0,3,3,3+,18.0,,Under Construction,0.0,0,0,0,0,0,110.0
flat,dlf the primus,sector 82a ,225.0,10714.0,2100.06,Carpet area: 2100 (195.1 sq.m.),,,2100.0,3,3,3+,29.0,East,Relatively New,1.0,1,0,0,0,0,72.0
flat,emaar mgf emerald floors premier,sector 65 ,280.0,16969.0,1650.07,Carpet area: 1650 (153.29 sq.m.),,,1650.0,3,3,3+,3.0,,Relatively New,2.0,1,1,0,0,0,38.0
flat,dlf regency park,sector 28,160.0,14545.0,1100.03,Carpet area: 1100 (102.19 sq.m.),,,1100.0,2,2,2,3.0,North,Relatively New,0.0,0,0,0,0,0,52.0
flat,supertech araville,sector 79 ,83.0,5424.0,1530.24,Carpet area: 1530 (142.14 sq.m.),,,1530.0,2,2,3,5.0,North-East,New Property,1.0,0,1,0,0,0,49.0
flat,signature global park,sohna road,83.0,7410.0,1120.11,Carpet area: 1120 (104.05 sq.m.),,,1120.0,3,2,2,1.0,,New Property,0.0,0,0,0,0,0,16.0
flat,maxworth city residences,sector 10a ,80.0,6400.0,1250.0,Carpet area: 1250 (116.13 sq.m.),,,1250.0,2,3,2,9.0,,New Property,0.0,0,0,0,0,0,46.0
flat,deepak minda,manesar,125.0,4715.0,2651.11,Carpet area: 2651 (246.29 sq.m.),,,2651.0,4,4,3+,6.0,,Moderately Old,2.0,0,0,0,0,0,44.0
flat,pivotal devaan,sector 84 ,30.0,6666.0,450.05,Carpet area: 450 (41.81 sq.m.),,,450.0,1,1,1,14.0,,New Property,0.0,0,0,0,0,0,37.0
flat,unitech the residences,sector 33 ,155.0,9872.0,1570.1,Super Built up area 1570(145.86 sq.m.),1570.0,,,3,4,1,1.0,South,Relatively New,0.0,1,0,0,0,0,0.0
flat,chd avenue,sector 71 ,79.0,6594.0,1198.06,Super Built up area 1198(111.3 sq.m.),1198.0,,,2,2,2,8.0,South-East,Relatively New,0.0,0,0,0,0,1,80.0
flat,silverglades the melia,sohna road,101.0,7000.0,1442.86,Super Built up area 1450(134.71 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),1450.0,,950.0,2,2,3,12.0,,Under Construction,0.0,0,1,0,0,0,97.0
flat,sare crescent parc royal greens phase 1,sector 92 ,95.0,5007.0,1897.34,Super Built up area 1897(176.24 sq.m.),1897.0,,,4,5,3+,4.0,,Moderately Old,0.0,1,0,0,0,0,109.0
flat,umang winter hills,sector 77 ,99.0,7857.0,1260.02,Super Built up area 1260(117.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),1260.0,,1000.0,2,2,2,1.0,North,Relatively New,2.0,0,0,0,0,0,62.0
flat,ramprastha skyz,sector 37d ,110.0,6376.0,1725.22,Super Built up area 1725(160.26 sq.m.),1725.0,,,3,3,3+,7.0,East,Under Construction,0.0,0,0,0,0,0,51.0
flat,4s aradhya homes,sector 67a ,190.0,8863.0,2143.74,Super Built up area 2200(204.39 sq.m.),2200.0,,,4,4,3,3.0,,New Property,0.0,0,0,0,0,0,55.0
flat,ild greens,sector 37c ,100.0,4320.0,2314.81,Super Built up area 1875(174.19 sq.m.),1875.0,,,3,3,3+,5.0,North,Under Construction,0.0,0,0,0,0,0,60.0
flat,bptp freedom park life,sector 57 ,250.0,11111.0,2250.02,Super Built up area 2250(209.03 sq.m.),2250.0,,,3,3,3,9.0,,Moderately Old,0.0,0,0,0,0,0,50.0
flat,godrej habitat,sector 3 ,110.0,10410.0,1056.68,Super Built up area 1056.58(98.16 sq.m.),1056.0,,,2,2,2,14.0,,Under Construction,0.0,0,0,0,0,0,0.0
flat,ramsons kshitij,sector 95 ,29.0,5178.0,560.06,Super Built up area 560(52.03 sq.m.),560.0,,,2,2,2,14.0,,Relatively New,0.0,0,0,0,0,0,49.0
flat,sidhartha ncr one,sector 95 ,55.0,5556.0,989.92,Built Up area: 990 (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),,990.0,950.0,2,2,3,15.0,North-East,Undefined,0.0,0,0,0,0,0,37.0
flat,raheja sampada,sector 92 ,65.0,4744.0,1370.15,Super Built up area 1370(127.28 sq.m.),1370.0,,,3,2,3,6.0,North-East,Relatively New,0.0,0,0,0,0,0,43.0
flat,signature the serenas,sohna road,50.0,9406.0,531.58,Carpet area: 531.57 (49.38 sq.m.),,,531.0,2,2,2,6.0,,New Property,2.0,0,0,0,0,0,90.0
flat,pareena laxmi apartments,sector 99a ,31.75,5521.0,575.08,Super Built up area 575(53.42 sq.m.)Carpet area: 570.17 sq.ft. (52.97 sq.m.),575.0,,570.0,2,2,1,2.0,,New Property,0.0,0,0,0,0,0,44.0
