,property_type,society,sector,price_in_lacs,price_per_sqft_inrs,builtup,bedRoom,bathroom,balcony,floorNum,agePossession,furnish_type,servant_room,study room,pooja room,store_room,others,luxury_score,coordinates,latitude,longitude
38,flat,dlf regency park,sector 28,225.0,14516.0,1700.0,3,3,2,16.0,Old Property,0.0,1,0,0,0,0,53.0,"28.4728° N, 77.0865° E",28.4728,77.0865
39,flat,dlf belvedere towers,sector 25,340.0,13765.0,2744.0,4,4,3,1.0,Old Property,1.0,1,0,0,0,0,22.0,"28.4844° N, 77.0860° E",28.4844,77.086
40,flat,suncity vatsal valley,gwal pahari,128.0,9552.0,1489.0,3,3,3,1.0,Relatively New,2.0,0,0,0,0,0,135.0,"28.4484° N, 77.0210° E",28.4484,77.021
41,flat,dlf city plots phase 3,sector 24,650.0,18571.0,3888.0,4,5,3+,3.0,New Property,0.0,1,0,0,0,0,93.0,"28.4939° N, 77.1038° E",28.4939,77.1038
42,flat,paras quartier,gwal pahari,590.0,11028.0,4842.0,4,4,3+,19.0,New Property,0.0,1,1,1,1,0,100.0,"28.4484° N, 77.0210° E",28.4484,77.021
43,flat,ambience lagoon,sector 24,425.0,13281.0,3201.0,3,4,3+,3.0,Old Property,0.0,1,0,0,1,0,121.0,"28.4939° N, 77.1038° E",28.4939,77.1038
44,flat,the close south,sector 50,325.0,12810.0,2818.0,3,4,3+,4.0,Old Property,0.0,1,0,0,0,0,52.0,"28.4178° N, 77.0628° E",28.4178,77.0628
45,flat,bestech park view residency,sector 2,150.0,7825.0,1738.0,3,4,3+,10.0,Moderately Old,0.0,1,0,0,0,0,120.0,"28.5095° N, 77.0320° E",28.5095,77.032
46,flat,bestech park view residency,sector 2,95.0,6709.0,1573.0,2,2,3,10.0,Old Property,2.0,0,0,0,0,0,49.0,"28.5095° N, 77.0320° E",28.5095,77.032
47,flat,dlf regency park,sector 28,226.0,13696.0,1700.0,3,3,2,19.0,Old Property,0.0,1,0,0,0,0,38.0,"28.4728° N, 77.0865° E",28.4728,77.0865
48,flat,eldeco accolade,sector 33,120.0,8043.0,1492.0,2,2,2,0.0,New Property,0.0,0,1,0,0,0,125.0,"28.4420° N, 77.0207° E",28.442,77.0207
49,flat,dlf regency park,sector 28,235.0,13224.0,1608.0,3,3,2,18.0,Old Property,2.0,1,0,0,0,0,150.0,"28.4728° N, 77.0865° E",28.4728,77.0865
50,flat,sbr minda sec 1 imt manesar,manesar,65.0,4259.0,1695.0,3,2,3+,6.0,Moderately Old,2.0,0,0,0,0,0,62.0,"28.3515° N, 76.9428° E",28.3515,76.9428
51,flat,central park flower valley,sector 33,330.0,13750.0,2666.0,3,3,3,2.0,Under Construction,0.0,1,1,1,1,0,102.0,"28.4420° N, 77.0207° E",28.442,77.0207
52,flat,bestech park view residency,sector 2,151.0,7869.0,1738.0,3,4,3+,7.0,Moderately Old,0.0,1,0,0,0,0,105.0,"28.5095° N, 77.0320° E",28.5095,77.032
53,flat,bestech park view residency,sector 2,126.0,8051.0,1416.0,2,2,3,7.0,Moderately Old,0.0,0,1,0,0,0,137.0,"28.5095° N, 77.0320° E",28.5095,77.032
54,flat,bestech park view residency,sector 2,95.0,6713.0,1281.0,2,2,3,1.0,Moderately Old,0.0,0,0,0,0,0,72.0,"28.5095° N, 77.0320° E",28.5095,77.032
55,flat,sbr minda sec-1 imt manesar,manesar,64.0,4193.0,1695.0,3,2,3+,6.0,Old Property,2.0,0,0,0,0,0,137.0,"28.3515° N, 76.9428° E",28.3515,76.9428
56,flat,prasha apartments,manesar,75.0,3309.0,1914.0,3,3,3+,3.0,Moderately Old,2.0,1,0,0,0,0,92.0,"28.3515° N, 76.9428° E",28.3515,76.9428
57,flat,bestech park view residency,sector 2,136.0,7646.0,1611.0,3,3,3+,5.0,Moderately Old,0.0,0,0,0,0,0,49.0,"28.5095° N, 77.0320° E",28.5095,77.032
58,flat,bestech park view residency,sector 2,98.5,6961.0,1281.0,2,2,3,0.0,Moderately Old,0.0,0,0,0,0,0,106.0,"28.5095° N, 77.0320° E",28.5095,77.032
59,flat,bestech park view residency,sector 2,56.2,8632.0,723.0,1,1,2,6.0,Moderately Old,0.0,0,0,0,0,0,113.0,"28.5095° N, 77.0320° E",28.5095,77.032
60,flat,deepak minda,manesar,120.0,4528.0,2944.0,3,3,3+,6.0,Moderately Old,2.0,1,0,0,0,0,174.0,"28.3515° N, 76.9428° E",28.3515,76.9428
61,flat,the close north,sector 50,235.0,11358.0,1900.0,3,3,3,8.0,Moderately Old,2.0,0,0,0,0,0,26.0,"28.4178° N, 77.0628° E",28.4178,77.0628
62,flat,swarn jayanti cghs,sector 54,175.0,7608.0,1900.0,4,3,3+,3.0,Old Property,2.0,0,0,0,0,1,150.0,"28.4348° N, 77.1089° E",28.4348,77.1089
63,flat,krrish provence estate,gwal pahari,525.0,9051.0,5249.0,4,5,3+,2.0,New Property,0.0,1,1,1,0,0,174.0,"28.4484° N, 77.0210° E",28.4484,77.021
64,flat,the close north,sector 50,270.0,9980.0,2358.0,3,3,3+,3.0,Moderately Old,2.0,1,0,0,0,0,165.0,"28.4178° N, 77.0628° E",28.4178,77.0628
65,flat,ambience lagoon,sector 24,425.0,13281.0,3201.0,3,4,3+,3.0,Old Property,0.0,1,0,1,0,0,82.0,"28.4939° N, 77.1038° E",28.4939,77.1038
66,flat,dlf regency park,sector 28,124.0,12400.0,1050.0,2,2,3+,19.0,Moderately Old,0.0,0,0,1,0,0,5.0,"28.4728° N, 77.0865° E",28.4728,77.0865
67,flat,dlf regency park,sector 28,135.0,11739.0,1120.0,2,2,2,14.0,Old Property,0.0,0,0,0,1,0,101.0,"28.4728° N, 77.0865° E",28.4728,77.0865
68,flat,green campus chs,manesar,92.0,4022.0,1924.0,3,3,3+,8.0,Moderately Old,2.0,1,0,0,0,0,102.0,"28.3515° N, 76.9428° E",28.3515,76.9428
69,flat,green campus chs,manesar,90.0,3935.0,2070.0,3,3,3+,6.0,Moderately Old,2.0,1,0,0,0,0,102.0,"28.3515° N, 76.9428° E",28.3515,76.9428
70,flat,krrish provence estate,gwal pahari,750.0,7500.0,9051.0,5,6,3+,23.0,Relatively New,0.0,1,0,1,0,1,49.0,"28.4484° N, 77.0210° E",28.4484,77.021
71,flat,denso haryana housing society,manesar,90.0,4308.0,2321.0,3,3,3+,5.0,Moderately Old,2.0,1,0,0,0,0,174.0,"28.3515° N, 76.9428° E",28.3515,76.9428
72,flat,dlf the icon,sector 43,525.0,20388.0,2570.0,4,4,3,9.0,Old Property,0.0,1,0,1,0,1,26.0,"28.4629° N, 77.0772° E",28.4629,77.0772
73,flat,unitech fresco,sector 50,114.0,8532.0,1330.0,2,2,2,19.0,Moderately Old,0.0,0,0,0,0,1,49.0,"28.4178° N, 77.0628° E",28.4178,77.0628
74,flat,ansal maple crescent,sector 43,135.0,10037.0,1320.0,3,3,3,2.0,Old Property,0.0,0,0,0,0,1,174.0,"28.4629° N, 77.0772° E",28.4629,77.0772
75,flat,dlf regency park,sector 28,230.0,11817.0,1777.0,3,3,3,7.0,Moderately Old,0.0,1,0,0,0,0,99.0,"28.4728° N, 77.0865° E",28.4728,77.0865
76,flat,hsiidc sidco aravali,manesar,90.0,3477.0,1900.0,3,3,3+,8.0,Moderately Old,2.0,1,0,0,0,0,75.0,"28.3515° N, 76.9428° E",28.3515,76.9428
77,flat,bestech park view residency,sector 2,102.0,7208.0,1281.0,2,2,3,11.0,Moderately Old,2.0,0,0,0,0,0,101.0,"28.5095° N, 77.0320° E",28.5095,77.032
78,flat,bestech park view residency,sector 2,55.6,8553.0,722.0,1,1,2,7.0,Moderately Old,2.0,0,0,0,0,0,49.0,"28.5095° N, 77.0320° E",28.5095,77.032
79,flat,dlf wellington estate,sector 43,209.0,14615.0,1294.0,3,3,2,11.0,Old Property,0.0,0,0,0,0,0,150.0,"28.4629° N, 77.0772° E",28.4629,77.0772
80,flat,bestech park view residency,sector 2,98.1,6932.0,1281.0,2,2,3,11.0,Moderately Old,2.0,0,0,0,0,0,150.0,"28.5095° N, 77.0320° E",28.5095,77.032
81,flat,dlf carlton estate,sector 43,210.0,15418.0,1233.0,3,3,1,2.0,Old Property,0.0,0,0,0,1,0,49.0,"28.4629° N, 77.0772° E",28.4629,77.0772
82,flat,dlf exclusive floors,sector 43,235.0,14242.0,1527.0,3,3,2,1.0,Old Property,2.0,0,0,0,1,0,68.0,"28.4629° N, 77.0772° E",28.4629,77.0772
83,flat,the close north,sector 50,235.0,11227.0,2000.0,3,3,3,8.0,Moderately Old,2.0,0,0,0,1,0,94.0,"28.4178° N, 77.0628° E",28.4178,77.0628
84,flat,dlf ridgewood estate,sector 28,200.0,14598.0,1240.0,3,3,1,12.0,Old Property,0.0,0,0,0,0,0,49.0,"28.4728° N, 77.0865° E",28.4728,77.0865
85,flat,dlf trinity towers,sector 43,380.0,15510.0,2450.0,3,3,3+,1.0,Moderately Old,0.0,1,0,1,0,0,49.0,"28.4629° N, 77.0772° E",28.4629,77.0772
86,flat,the close north,sector 50,270.0,10364.0,2400.0,3,3,3+,6.0,Moderately Old,1.0,1,0,0,0,0,158.0,"28.4178° N, 77.0628° E",28.4178,77.0628
87,flat,dlf the icon,sector 43,600.0,26086.0,2555.0,4,4,3+,18.0,Old Property,0.0,1,0,0,0,0,19.0,"28.4629° N, 77.0772° E",28.4629,77.0772
88,flat,.,gwal pahari,700.0,11000.0,5431.0,4,4,3+,6.0,Relatively New,2.0,1,0,0,0,0,140.0,"28.4484° N, 77.0210° E",28.4484,77.021
89,flat,unitech fresco,sector 50,180.0,9589.0,1870.0,3,4,3+,6.0,Moderately Old,2.0,1,0,0,0,0,96.0,"28.4178° N, 77.0628° E",28.4178,77.0628
