property_name,property_type,society,sector,price_in_lacs,price_per_sqft_inrs,area,areaWithType,super_builtup,builtup,carpet_area,bedRoom,bathroom,balcony,address,floorNum,facing,agePossession,description,furnish_type,rating,servant_room,study room,pooja room,store_room,others,luxury_score
2 BHK Flat in Sector 81 Gurgaon,flat,signature global city 81,sector 81 ,96.0,9767.0,982.9,Carpet area: 1075 (99.87 sq.m.),,,1075,2,2,2,"Sector 81 Gurgaon, Gurgaon, Haryana",1.0,,Under Construction,"Signature global city 81 is one of gurgaon's most sought after destination for apartments and this 2 bhk flat in sector 81 gurgaon is your opportunity to be a part of this community. Constructed on a carpet area of 1075 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. This flat is situated on the 1st floor of this 4 floors tall residential building. As the property is currently under construction , you can expect to get the possession by june 2024.",0.0,"['Environment4.5 out of 5', 'Safety4.5 out of 5', 'Lifestyle4 out of 5', 'Connectivity3.5 out of 5']",0,0,0,0,0,49.0
2 BHK Flat in Sohna,flat,hcbs sports ville,sohna road,29.0,5587.0,519.06,Carpet area: 519 (48.22 sq.m.),,,519,2,2,1,"Sohna, Gurgaon, Haryana",4.0,,Relatively New,Affordable housing in gurgaon and surrounded by green and clean air. Selling off due to relocation.,0.0,"['Green Area4 out of 5', 'Amenities4 out of 5', 'Management4 out of 5', 'Construction4 out of 5', 'Connectivity2 out of 5']",0,0,0,0,0,44.0
3 BHK Flat in Sector 79 Gurgaon,flat,supertech araville,sector 79 ,135.0,6940.0,1945.24,Carpet area: 1945 (180.7 sq.m.),,,1945,3,3,3,"Sector 79 Gurgaon, Gurgaon, Haryana",4.0,,Relatively New,"Well spacious, nicely built with wooden flooring in master bed room. The location of the house is convenient for school goers and the connectivity is great too.",0.0,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle3 out of 5', 'Connectivity4 out of 5']",0,0,0,0,0,0.0
2 BHK Flat in Sector 33 Gurgaon,flat,godrej,sector 33 ,95.0,6859.0,1385.04,Super Built up area 1385(128.67 sq.m.),1385,,,2,2,3+,"Flat No. :- 301, Sector 33 Gurgaon, Gurgaon, Haryana",3.0,South-East,Under Construction,"Its an godrej project nature plus.
On 3rd floor. 1st flat
 Balcony east facing & flat is north facing.
With 4 balconies.
On sec - 33 , sohan road
Front facing flat..
If need more details you can contact me.",0.0,"['Environment3 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",0,0,0,0,0,0.0
2 BHK Flat in Sector 90 Gurgaon,flat,shree vardhman flora,sector 90 ,70.0,5384.0,1300.15,Super Built up area 1300(120.77 sq.m.),1300,,,2,2,3,"Sector 90 Gurgaon, Gurgaon, Haryana",13.0,,New Property,"This 2 bhk apartment is available for sale in shree vardhman flora, one of the most prominent projects for flats in sector 90 gurgaon. Constructed on a super built up area of 1300 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. This flat lies on the top level of a 13 storey building. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.",0.0,"['Green Area5 out of 5', 'Amenities5 out of 5', 'Management4 out of 5', 'Construction5 out of 5', 'Connectivity5 out of 5']",0,1,0,0,0,15.0
4 BHK Flat in Sector 108 Gurgaon,flat,sobha city,sector 108 ,395.0,16859.0,2342.96,Built Up area: 2343 (217.67 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),,2343,2300,4,5,3,"Sector 108, Sector 108 Gurgaon, Gurgaon, Haryana",25.0,,Undefined,This is sale property................................. Sobha city sector 108,0.0,"['Environment4 out of 5', 'Safety4.5 out of 5', 'Lifestyle4.5 out of 5', 'Connectivity4.5 out of 5']",0,0,0,0,0,59.0
1 BHK Flat in Sector 62 Gurgaon,flat,senate court,sector 62 ,90.0,14084.0,639.02,Built Up area: 639 (59.37 sq.m.),,639,,1,1,0,"Senate Court, Sector 62, Gurgaon, Sector 62 Gurgaon, Gurgaon, Haryana",0.0,,Undefined,"Looking for a 1 bhk apartment for sale in gurgaon? Your search ends here. Buy this 1 bhk property in gurgaons finest location, sector 62. This is an owner listed property and there is no brokerage involved. It is on floor 3 out of 7 floors. This apartment is available at a reasonable price of rs 90.0 l. The built up area of this property is 639 square feet. There are 1 bedroom and 1 bathroom. There are a number of reputed schools in the vicinity such as kunskapsskolan eduventures pvt ltd, c r oasis convent senior secondry school, and pardeep mor mamoril school. Medical facility is also close at hand with names like park hospital, artemis hospital gurgaon, and w pratiksha hospital senate court senate court, sector 62, gurgaon",0.0,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle5 out of 5', 'Connectivity4 out of 5']",0,0,0,0,0,0.0
2 BHK Flat in Sector 102 Gurgaon,flat,shapoorji pallonji joyville gurugram,sector 102 ,105.0,11475.0,915.03,Carpet area: 915 (85.01 sq.m.),,,915,2,2,2,"G04, Sector 102 Gurgaon, Gurgaon, Haryana",0.0,,Under Construction,New upcoming available in next 6-9 months,0.0,"['Green Area4 out of 5', 'Amenities5 out of 5', 'Management4 out of 5', 'Construction5 out of 5', 'Connectivity4 out of 5']",0,0,0,0,0,49.0
3 BHK Flat in Sector-33 Sohna,flat,central park flower valley,sector 33,220.00000000000003,10476.0,2100.04,Super Built up area 2100(195.1 sq.m.),2100,,,3,3,3,"Sector-33 Sohna, Gurgaon, Haryana",12.0,North-East,New Property,"This beautiful 3 bhk flat in sector-33 sohna, gurgaon is situated in central park flower valley, one of the popular residential society in gurgaon. The flat is over 2100 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and 3 balconies. The flat has a total of 13 floors and this property is situated on 12th floor. As the project is already ready to move, so you can easily move into this 0-1 year old property.",2.0,,1,0,0,0,0,49.0
2 BHK Flat in Sector 89 Gurgaon,flat,smart world gems,sector 89 ,101.0,9156.0,1103.1,Carpet area: 1103 (102.47 sq.m.),,,1103,2,2,2,"Sector 89 Gurgaon, Gurgaon, Haryana",4.0,,Under Construction,Possession soon . Luxurious flat with terrace and basement,0.0,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",0,1,0,0,0,38.0
