property_name,property_type,society,sector,price_in_lacs,price_per_sqft_inrs,area,areaWithType,super_builtup,builtup,carpet_area,bedRoom,bathroom,balcony,address,floorNum,facing,agePossession,description,furnish_type,rating,servant_room,study room,pooja room,store_room,others,luxury_score
4 BHK Flat in Sector 72 Gurgaon,flat,tata primanti,sector 72 ,500.0,11363.0,4400.25,Super Built up area 4400(408.77 sq.m.)Built Up area: 4000 sq.ft. (371.61 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4400,4000,3500,4,4,3+,"Ef/7c, Sector 72 Gurgaon, Gurgaon, Haryana",2.0,North-East,New Property,"This beautiful 4 bhk flat in sector 72 gurgaon is situated in tata primanti, one of the popular residential society in gurgaon. The flat is facing the north-East direction. Containing 4 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 4400 sq.Ft. The residential building has 40 floors in total and the flat for sale is located on the 2nd floor. This 0-1 year old property is available for immediate possession as the project is ready to move. The well built marble flooring enhances the aesthetic appeal of this flat. Tata primanti is designed very well to provide modern facilities such as swimming pool, grocery shop, shopping centre, club house / community center, fitness centre / gym, park, lift(s), maintenance staff, visitor parking, water softening plant and security personnel. The residential project is well equipped to meet all your water needs through access to municipal corporation and borewell/tank supply.",2.0,"['Green Area4 out of 5', 'Construction4 out of 5', 'Management5 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']",1,1,0,1,0,139.0
4 BHK Flat in Sector 72 Gurgaon,flat,tata primanti,sector 72 ,500.0,11111.0,4500.05,Built Up area: 4500 (418.06 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),,4500,3500,4,4,3+,"900, Sector 72 Gurgaon, Gurgaon, Haryana",2.0,North-East,Moderately Old,"Check out this 4 bhk apartment for sale in tata primanti, a popular residential project that houses in-Demand flats in sector 72 gurgaon. The flat is facing the north-East direction. The flat is over 4500 sq.Ft. Built up area and comes with 4 bedroom(s), 4 bathrooms and more than 3 balconies. This flat is situated on the 2nd floor of this 4 floors tall residential building. As the project is already ready to move, so you can easily move into this 5-10 years old property. The marble flooring of this flat is beautifully designed and helps to give it a pleasing look. This flat is located near close to hospital. The society is well equipped with many modern amenities, including maintenance staff, visitor parking, park, lift(s), water softening plant, shopping centre, fitness centre / gym, swimming pool, club house / community center and security personnel. The society provides continuous water supply from municipal corporation and borewell/tank.",0.0,"['Green Area4 out of 5', 'Construction4 out of 5', 'Management5 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']",1,1,1,0,1,44.0
3 BHK Flat in Sector 113 Gurgaon,flat,la vida by tata housing,sector 113 ,270.0,16363.0,1650.06,Built Up area: 2217 (205.97 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),,2217,1650,3,4,3+,"404, Sector 113 Gurgaon , Gurgaon, Haryana",4.0,North-West,Relatively New,"Located in the popular residential address of sector 113 gurgaon , la vida by tata housing is one of the most preferred destination for apartments in gurgaon. This 3 bhk flat is your ticket to be a part of this community. Constructed on a built up area of 2217 sq.Ft., the flat comprises 3 bedroom(s), 4 bathrooms and more than 3 balconies. This flat lies on the 4th level of a 25 storey building. This residential property is still under construction and will be available for possession within 6 months.",0.0,,1,0,0,0,0,135.0
4 BHK Flat in Sector 48 Gurgaon,flat,bestech park view city,sector 48 ,265.0,10323.0,2567.08,Super Built up area 2567(238.48 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),2567,,1750,4,4,3+,"1101, Sector 48 Gurgaon, Gurgaon, Haryana",11.0,North-East,Moderately Old,"This lovely 4 bhk apartment/flat in sector 48 gurgaon is available for sale in one of gurgaon's most popular projects, bestech park view city. The flat is facing the north-East direction. Containing 4 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 2567 sq.Ft. The residential building has 14 floors in total and the flat for sale is located on the 11th floor. As the project is already ready to move, so you can easily move into this 5-10 years old property. The flat comes well built with marble flooring options. Many of the modern amenities being offered, like swimming pool, security personnel, maintenance staff, club house / community center, fitness centre / gym, park, lift(s), visitor parking, water softening plant and shopping centre, will provide a pleasant living experience for you. The society provides continuous water supply from municipal corporation and borewell/tank.",0.0,"['Green Area5 out of 5', 'Construction4 out of 5', 'Management4.5 out of 5', 'Amenities5 out of 5', 'Connectivity5 out of 5']",1,1,0,0,0,21.0
2 BHK Flat in Sector 22 Gurgaon,flat,ambience creacions,sector 22 ,165.0,11956.0,1380.06,Super Built up area 1380(128.21 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),1380,1200,1000,2,2,2,"B 903, Sector 22 Gurgaon, Gurgaon, Haryana",9.0,East,Relatively New,"Situated in sector 22 gurgaon, ambience creacions is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in gurgaon is your opportunity to be a part of this community. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1380 sq.Ft. The property is located on the 9th floor of a 20 floors tall building. This 1-5 years old property is available for immediate possession as the project is ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",2.0,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety5 out of 5']",0,0,1,0,1,141.0
3 BHK Flat in Sector 22 Gurgaon,flat,ambience creacions,sector 22 ,255.0,13709.0,1860.09,Super Built up area 1860(172.8 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1860,1600,1400,3,3,3,"A803, Sector 22 Gurgaon, Gurgaon, Haryana",8.0,North-East,Relatively New,"This 3 bhk flat is located in ambience creacions, which houses some of the most spacious flats in sector 22 gurgaon. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1860 sq.Ft. The property is located on the 8th floor of a 20 floors tall building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",2.0,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety5 out of 5']",0,0,0,0,1,150.0
3 BHK Flat in Sector 22 Gurgaon,flat,ambience creacions,sector 22 ,255.0,13709.0,1860.09,Super Built up area 1860(172.8 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1860,1600,1400,3,3,3,"D-5, Sector 22 Gurgaon, Gurgaon, Haryana",5.0,North-East,Relatively New,"A world of premium luxury where craftsmanship meets perfection in the heart of gurugram! Dwell in dreams at your own address that speaks of international standards of luxury presented by the developers of world class projects like ambience mall gurugram, ambience mall vasant kunj, the leela ambience hotel gurugram, the leela ambience convention centre delhi, ambience corporate tower gurugram, ambience tower vasant kunj, ambience public school gurugram & residential landmarks like ambience caitriona & the lagoon.Extended over approx 15 acres of land20 fabulous towers (G 19) 2bhk, 3bhk, 4bhk apartments & penthousesLuxury space ranging from 1380 sq. Ft. To 3976 sq. Ft.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
The society has dedicated security guards for every tower.",2.0,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety5 out of 5']",0,0,0,0,0,76.0
3 BHK Flat in Sector 22 Gurgaon,flat,ambience creacions,sector 22 ,430.0,13915.0,3090.19,Super Built up area 3090(287.07 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),3090,2600,2100,3,4,3+,"A102, Sector 22 Gurgaon, Gurgaon, Haryana",6.0,South-West,Relatively New,"This 3 bhk apartment is available for sale in ambience creacions, one of the most prominent projects for flats in sector 22 gurgaon. Constructed on a super built up area of 3090 sq.Ft., the flat comprises 3 bedroom(s), 4 bathrooms and more than 3 balconies. The residential building has 18 floors in total and the flat for sale is located on the 6th floor. As the project is already ready to move, so you can easily move into this 1-5 years old property.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",2.0,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety5 out of 5']",1,0,0,0,1,174.0
4 BHK Flat in Sector 69 Gurgaon,flat,tulip violet,sector 69 ,170.0,8457.0,2010.17,Super Built up area 2010(186.74 sq.m.)Carpet area: 1610 sq.ft. (149.57 sq.m.),2010,,1610,4,4,2,"Sector 69 Gurgaon, Gurgaon, Haryana",10.0,South-West,Relatively New,"Tulip violet 4bhk in sector 69, gurgaon is a ready-To-Move housing society. It offers apartments in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. There are 2bhk, 3bhk and 4bhk apartments available in this project. This housing society is now ready to be called home as families have started moving in. Check out some of the features of tulip violet housing society:
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",1.0,"['Green Area5 out of 5', 'Construction4 out of 5', 'Management5 out of 5', 'Amenities5 out of 5', 'Connectivity4.5 out of 5']",1,1,1,1,0,49.0
2 BHK Flat in Sector 22 Gurgaon,flat,ambience creacions,sector 22 ,240.0,17391.0,1380.02,Super Built up area 1380(128.21 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),1380,1200,900,2,2,2,"C-101, Sector 22 Gurgaon, Gurgaon, Haryana",8.0,South-East,Relatively New,"This lovely 2 bhk apartment/flat in sector 22 gurgaon is available for sale in one of gurgaon's most popular projects, ambience creacions. The flat occupies a super built up area of 1380 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. The flat has a total of 18 floors and this property is situated on 8th floor. This is a ready to move project and the property is 1-5 years old.
 Additional details :The apartment has borings water supply.
No power backup is available.
The society has dedicated security guards for every tower.",0.0,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety5 out of 5']",0,0,0,0,1,95.0
2 BHK Flat in Sector 37C Gurgaon,flat,imperia the esfera,sector 37c ,87.0,5513.0,1578.09,Super Built up area 1578(146.6 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1110 sq.ft. (103.12 sq.m.),1578,1300,1110,2,3,3+,"D 502, Sector 37C Gurgaon, Gurgaon, Haryana",5.0,North-West,Relatively New,"Come live in a locale where all your day-To-Day requirements are right around the corner. A residential complex placed in the midst of some of ncrs finest educational centers, healthcare facilities, office complexes and a host of recreational options that makes time pressures of life easier. Apart from being conveniently close to the airport, the metro-Connectivity and the national highway ensure that you can reach anywhere you want- In time, and in comfort
 Additional details :The apartment has borings water supply.
No power backup is available.
The society has dedicated security guards for every tower.",2.0,"['Environment5 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",0,1,0,0,0,49.0
3 BHK Flat in Sector 37C Gurgaon,flat,corona optus,sector 37c ,125.0,7090.0,1763.05,Super Built up area 1763(163.79 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1234 sq.ft. (114.64 sq.m.),1763,1350,1234,3,3,3,"T1-101, Sector 37C Gurgaon, Gurgaon, Haryana",4.0,North-West,Relatively New,"Optus corona is a ready to move residential project in sector 37c, gurgaon. The place offers space and uninterrupted greenery that is almost a forgotten feature in today's context. Be it the mid segment apartments or luxurious high-End apartments, every apartment offers ample space, sunlight and a beautiful landscape view. As a matter of fact, optus corona is spread across 16 acres with only 720 high rise apartments. Nearly 75% of the area is green. Each apartment will be built keeping the need for space in mind. With special emphasis on use of renewable resources, green living along with the latest facilities and security arrangements, optus corona is the ideal place where you can bring up your children or grow old peacefully.Optus corona man escape from the humdrum and fierce harshness of the urban concrete jungle into the soft, flowing ,natural lush green nature. Nothing is rigid in nature. There are curves within which are neatly tucked cosy and comfortable spaces, plazas etc. This is where one can watch their children grow as creative individuals amongst nature, experience an open space in the amphitheatres while relaxing in the green surroundings.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Partial power backup is available.
The society has dedicated security guards for every tower.",0.0,"['Green Area5 out of 5', 'Construction4 out of 5', 'Management4 out of 5', 'Amenities4 out of 5', 'Connectivity4 out of 5']",0,0,0,0,1,126.0
3 BHK Flat in Sector 37C Gurgaon,flat,imperia the esfera,sector 37c ,99.0,5454.0,1815.18,Super Built up area 1815(168.62 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1270 sq.ft. (117.99 sq.m.),1815,1400,1270,3,5,3+,"E 505, Sector 37C Gurgaon, Gurgaon, Haryana",5.0,North-West,Relatively New,"Come live in a locale where all your day-To-Day requirements are right around the corner. A residential complex placed in the midst of some of ncrs finest educational centers, healthcare facilities, office complexes and a host of recreational options that makes time pressures of life easier. Apart from being conveniently close to the airport, the metro-Connectivity and the national highway ensure that you can reach anywhere you want- In time, and in comfort.
 Additional details :The apartment has borings water supply.
No power backup is available.
The society has dedicated security guards for every tower.",2.0,"['Environment5 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",1,0,0,0,0,152.0
3 BHK Flat in Sector 102 Gurgaon,flat,emaar gurgaon greens,sector 102 ,139.0,8424.0,1650.05,Super Built up area 1650(153.29 sq.m.),1650,,,3,3,3,"Sector 102 Gurgaon, Gurgaon, Haryana",7.0,West,Relatively New,"Situated in sector 102 gurgaon, emaar gurgaon greens is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in gurgaon is your opportunity to be a part of this community. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1650 sq.Ft. This flat lies on the 4th level of a 14 storey building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",2.0,"['Green Area5 out of 5', 'Construction4 out of 5', 'Management5 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']",1,0,0,0,0,159.0
3 BHK Flat in Nirvana Country,flat,the close north,sector 50,270.0,10364.0,2605.17,Super Built up area 2605(242.01 sq.m.)Built Up area: 2400 sq.ft. (222.97 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),2605,2400,2200,3,3,3+,"002, Nirvana Country, Gurgaon, Haryana",6.0,East,Moderately Old,"Check out this 3 bhk apartment for sale in the close north, a popular residential project that houses in-Demand flats in nirvana country, gurgaon. The flat is north-East-Facing. The flat is over 2605 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and more than 3 balconies. This flat lies on the 6th level of a 18 storey building. This 5-10 years old property is available for immediate possession as the project is ready to move. The vitrified flooring of this flat is beautifully designed and helps to give it a pleasing look. The close north is designed very well to provide modern facilities such as swimming pool, security personnel, maintenance staff, club house / community center, fitness centre / gym, park, lift(s), visitor parking, water softening plant and shopping centre. The housing society ensures a continuous supply of water to your flat from municipal corporation and borewell/tank.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",1.0,"['Green Area5 out of 5', 'Construction4 out of 5', 'Management4.5 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']",1,0,0,0,0,158.0
4 BHK Flat in Sector 37D Gurgaon,flat,bptp terra,sector 37d ,175.0,7987.0,2191.06,Super Built up area 2191(203.55 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2191,2100,1800,4,4,3,"702, Sector 37D Gurgaon, Gurgaon, Haryana",7.0,West,Relatively New,"Location advantages:  Situated close to proposed metro station Easy access to any part of gurgaon and ncr Travelling by functional delhi metro's yellow line, prime locations of delhi are within reach in a few minutes time 150 m wie link road Easy access to mg road and the mall road via nh-8, which enables easy availability of all kinds of daily amenities
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",0.0,"['Green Area4.5 out of 5', 'Construction4.5 out of 5', 'Management4.5 out of 5', 'Amenities4.5 out of 5', 'Connectivity4 out of 5']",0,0,0,0,1,119.0
4 BHK Flat in Sector 37D Gurgaon,flat,bptp terra,sector 37d ,155.0,7074.0,2191.12,Super Built up area 2191(203.55 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2191,2100,1800,4,3,3+,"A1902, Sector 37D Gurgaon, Gurgaon, Haryana",19.0,North-East,Relatively New,"Situated in sector 37d gurgaon, bptp terra is a well planned society that offers a pleasant living experience to its residents. This 4 bhk flat in gurgaon is your opportunity to be a part of this community. The flat occupies a super built up area of 2191 sq.Ft. That consists of 4 bedrooms, 3 bathrooms and more than 3 balconies. The flat has a total of 23 floors and this property is situated on 19th floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
The society has dedicated security guards for every tower.",2.0,"['Green Area4.5 out of 5', 'Construction4.5 out of 5', 'Management4.5 out of 5', 'Amenities4.5 out of 5', 'Connectivity4 out of 5']",0,0,0,0,1,49.0
4 BHK Flat in Sector 37D Gurgaon,flat,bptp terra,sector 37d ,160.0,7302.0,2191.18,Super Built up area 2191(203.55 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2191,2000,1800,4,3,3+,"A701, Sector 37D Gurgaon, Gurgaon, Haryana",7.0,North,Relatively New,"This is a super luxury property which is situated in sec 37d and it's well connected from dwarka expressway and nh-8, mumbai expressway
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
The society has dedicated security guards for every tower.",2.0,"['Green Area4.5 out of 5', 'Construction4.5 out of 5', 'Management4.5 out of 5', 'Amenities4.5 out of 5', 'Connectivity4 out of 5']",0,0,0,0,1,49.0
3 BHK Flat in Sector 109 Gurgaon,flat,ats tourmaline,sector 109 ,140.0,8000.0,1750.0,Super Built up area 1750(162.58 sq.m.)Built Up area: 1466 sq.ft. (136.2 sq.m.),1750,1466,,3,3,3+,"Sector 109 Gurgaon, Gurgaon, Haryana",5.0,East,Relatively New,"Well maintained society sector 109 renowned builder 3bhk 1750 sun facing
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",2.0,"['Green Area4.5 out of 5', 'Construction4.5 out of 5', 'Management5 out of 5', 'Amenities4.5 out of 5', 'Connectivity4.5 out of 5']",0,0,0,0,0,49.0
3 BHK Flat in Sector 70A Gurgaon,flat,bptp astaire gardens,sector 70a ,180.0,9350.0,1925.13,Built Up area: 1925 (178.84 sq.m.),,1925,,3,3,3,"B111, Sector 70A Gurgaon, Gurgaon, Haryana",3.0,North-West,Relatively New,"Bptp astaire gardens is a beautifully developed residential township in sector 70 a, gurgaon by one of the well-Known real estate developer bptp group. Spanning over a massive area of 102 acres, this project offers $unit units segregated into 5 well-Designed towers. Bptp astaire garden construction status is ongoing and bptp astaire garden apartment possession will be given shortly.
This township consist of all the necessary amenities such as
More than 2 acres of huge area is reserved only for entertainment and recreational centers. Maintenance staff, kids club, outdoor tennis court etc., are all provided for the benefits of the residents.
100 percentage power backup, round the clock civic facilities, continuous water supply, higher-End security and many others are available here.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
The society has dedicated security guards for every tower.",2.0,"['Green Area4 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities4 out of 5', 'Connectivity5 out of 5']",0,1,0,0,0,49.0
4 BHK Flat in Sector 107 Gurgaon,flat,m3m woodshire,sector 107 ,165.0,5960.0,2768.46,Super Built up area 2768(257.16 sq.m.),2768,,,4,5,3+,"Sector 107 Gurgaon, Gurgaon, Haryana",12.0,North-West,Relatively New,"This 4 bhk flat is located in m3m woodshire, which houses some of the most spacious flats in sector 107 gurgaon. The flat is over 2768 sq.Ft. Super built up area and comes with 4 bedroom(s), 5 bathrooms and more than 3 balconies. This flat lies on the 12th level of a 14 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",0.0,"['Green Area4.5 out of 5', 'Construction5 out of 5', 'Management4.5 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']",1,0,0,0,0,21.0
3 BHK Flat in Sector 30 Gurgaon,flat,unitech uniworld city,sector 30 ,355.0,14991.0,2368.09,Super Built up area 2368(219.99 sq.m.)Built Up area: 2367 sq.ft. (219.9 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),2368,2367,2000,3,5,3+,"Uniworld City, Sector 30 Gurgaon, Gurgaon, Haryana",16.0,North,Old Property,"Check out this 3 bhk apartment for sale in unitech uniworld city, a popular residential project that houses in-Demand flats in sector 30 gurgaon. The flat is facing the north direction. Constructed on a super built up area of 2368 sq.Ft., the flat comprises 3 bedroom(s), 5 bathrooms and more than 3 balconies. The property is located on the 16th floor of a 19 floors tall building. Being a ready to move project, you can expect immediate possession of this 10+ years old property. The flat comes well built with vitrified flooring options. All the modern amenities such as swimming pool, park, lift(s), maintenance staff, visitor parking, water softening plant, shopping centre, fitness centre / gym and club house / community center will make life easier for you. The project provides access to clean water through municipal corporation and borewell/tank supply.",0.0,"['Green Area3.5 out of 5', 'Construction4.5 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity4.5 out of 5']",1,0,0,0,0,21.0
4 BHK Flat in DLF Phase 5,flat,dlf the icon,sector 43,600.0,26086.0,2300.08,Carpet area: 2300 (213.68 sq.m.),,,2300,4,4,3+,"The Icon, DLF Phase 5, Gurgaon, Haryana",18.0,North-East,Old Property,"This 4 bhk flat is located in dlf the icon, which houses some of the most spacious flats in dlf phase 5, gurgaon. The flat is facing the north-East direction. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and more than 3 balconies. All in all, the flat is spread over a carpet area of 2300 sq.Ft. The flat has a total of 18 floors and this property is situated on top floor. This 10+ years old property is available for immediate possession as the project is ready to move. The well built granite flooring enhances the aesthetic appeal of this flat. The society is well equipped with many modern amenities, including swimming pool, security personnel, maintenance staff, club house / community center, cctv surveillance, fitness centre / gym, park, lift(s), visitor parking, water softening plant and shopping centre. The society provides continuous water supply from municipal corporation and borewell/tank.",0.0,"['Green Area5 out of 5', 'Construction3 out of 5', 'Management4 out of 5', 'Amenities4 out of 5', 'Connectivity5 out of 5']",1,0,0,0,0,19.0
3 BHK Flat in Sector 48 Gurgaon,flat,bestech park view city,sector 48 ,180.0,10250.0,1756.1,Carpet area: 1756 (163.14 sq.m.),,,1756,3,4,3,"Sector 48 Gurgaon, Gurgaon, Haryana",3.0,North-West,Moderately Old,"Bestech park view city is one of the most popular destination for buying apartments/ flats in sector-48 gurgaon, gurgaon. You too can be a part of this society by purchasing this 3 bhk flat here. The floor plan additionally contains 4 bathrooms and 3 balconies. All in all, the flat is spread over an carpet area of 1756 sq.Ft.. This flat lies on the 3rd level of a 14 storey flat building. This is a ready to move project and the property is 5-10 year(s) old. Bestech park view city is designed very well to provide modern facilities such as swimming pool, security personnel, maintenance staff, club house / community center, fitness centre / gym, park, lift(s), visitor parking.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",1.0,"['Green Area5 out of 5', 'Construction4 out of 5', 'Management4.5 out of 5', 'Amenities5 out of 5', 'Connectivity5 out of 5']",0,1,0,0,0,159.0
3 BHK Flat in Sector 70A Gurgaon,flat,aipl the peaceful homes,sector 70a ,250.0,10638.0,2350.07,Super Built up area 2350(218.32 sq.m.),2350,,,3,4,3,"Sec 65, Sector 70A Gurgaon, Gurgaon, Haryana",8.0,South,Relatively New,"This lovely 3 bhk apartment/flat in sector-70a gurgaon is available for sale in one of gurgaon's most popular projects, aipl the peaceful homes. The flat is facing the north direction. Containing 3 bathrooms and 3 balconies, this flat is spread over an super built up area of 2150 sq.Ft.. The residential building has 30 floors in total and the flat for sale is located on the 8th floor. This is a ready to move project and the property is 1-5 year(s) old. The society is well equipped with many modern amenities, including swimming pool, water softening plant, grocery shop, shopping centre, club house / community center, cctv surveillance, fitness centre / gym, park, lift(s), maintenance staff, visitor parking, security personnel. The project provides a continuous supply of water to its flats.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",0.0,"['Green Area5 out of 5', 'Construction4.5 out of 5', 'Management4.5 out of 5', 'Amenities4.5 out of 5', 'Connectivity4 out of 5']",1,0,0,1,0,78.0
4 BHK Flat in Sector 39 Gurgaon,flat,hector trimurti heights,sector 39 ,150.0,6382.0,2350.36,Carpet area: 2350 (218.32 sq.m.),,,2350,4,3,3,"Sector 39 Gurgaon, Gurgaon, Haryana",10.0,South-East,Old Property,"Available for sale 4bhk flat trimurti apartment sector 39 gurgaon near nh 8 highway ready to move in flight complete woodwork modular kitchen ac fitted 100 percent power backup gated society east facing flat everything facilities wooden flooring
 
 Additional details :Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.",2.0,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",1,0,0,0,0,151.0
