property_type,society,sector,price_in_lacs,price_per_sqft_inrs,builtup,bedRoom,bathroom,balcony,floorNum,agePossession,furnish_type,servant_room,study room,pooja room,store_room,others,luxury_score
flat,dlf the primus,sector 82a ,225.0,10714.0,2333.0,3,3,3+,29.0,Relatively New,1.0,1,0,0,0,0,72.0
flat,emaar mgf emerald floors premier,sector 65 ,280.0,16969.0,1650.07,3,3,3+,3.0,Relatively New,2.0,1,1,0,0,0,38.0
flat,dlf regency park,sector 28,160.0,14545.0,1222.0,2,2,2,3.0,Relatively New,0.0,0,0,0,0,0,52.0
flat,supertech araville,sector 79 ,83.0,5424.0,1700.0,2,2,3,5.0,New Property,1.0,0,1,0,0,0,49.0
flat,signature global park,sohna road,83.0,7410.0,1244.0,3,2,2,1.0,New Property,0.0,0,0,0,0,0,16.0
flat,maxworth city residences,sector 10a ,80.0,6400.0,1389.0,2,3,2,9.0,New Property,0.0,0,0,0,0,0,46.0
flat,deepak minda,manesar,125.0,4715.0,2945.0,4,4,3+,6.0,Moderately Old,2.0,0,0,0,0,0,44.0
flat,pivotal devaan,sector 84 ,30.0,6666.0,500.0,1,1,1,14.0,New Property,0.0,0,0,0,0,0,37.0
flat,unitech the residences,sector 33 ,155.0,9872.0,1421.0,3,4,1,1.0,Relatively New,0.0,1,0,0,0,0,0.0
flat,chd avenue,sector 71 ,79.0,6594.0,1084.0,2,2,2,8.0,Relatively New,0.0,0,0,0,0,1,80.0
flat,silverglades the melia,sohna road,101.0,7000.0,1184.0,2,2,3,12.0,Under Construction,0.0,0,1,0,0,0,97.0
flat,sare crescent parc royal greens phase 1,sector 92 ,95.0,5007.0,1717.0,4,5,3+,4.0,Moderately Old,0.0,1,0,0,0,0,109.0
flat,umang winter hills,sector 77 ,99.0,7857.0,1126.0,2,2,2,1.0,Relatively New,2.0,0,0,0,0,0,62.0
flat,ramprastha skyz,sector 37d ,110.0,6376.0,1561.0,3,3,3+,7.0,Under Construction,0.0,0,0,0,0,0,51.0
flat,4s aradhya homes,sector 67a ,190.0,8863.0,1991.0,4,4,3,3.0,New Property,0.0,0,0,0,0,0,55.0
flat,ild greens,sector 37c ,100.0,4320.0,1697.0,3,3,3+,5.0,Under Construction,0.0,0,0,0,0,0,60.0
flat,bptp freedom park life,sector 57 ,250.0,11111.0,2036.0,3,3,3,9.0,Moderately Old,0.0,0,0,0,0,0,50.0
flat,godrej habitat,sector 3 ,110.0,10410.0,956.0,2,2,2,14.0,Under Construction,0.0,0,0,0,0,0,0.0
